demand_regime,k,p_reach_k_in_k_rounds,p_reach_k_in_2k_rounds,mean_rounds_to_reach_k,budget_rounds
0.2,5,0.5,1.0,5.8,40
0.2,10,0.2,1.0,11.66,40
0.2,20,0.045,1.0,23.31,40
0.35,5,0.77,1.0,5.25,40
0.35,10,0.61,1.0,10.475,40
0.35,20,0.39,1.0,20.86,40
0.5,5,0.94,1.0,5.06,40
0.5,10,0.875,1.0,10.125,40
0.5,20,0.745,1.0,20.275,40
1.0,5,0.995,1.0,5.005,40
1.0,10,0.99,1.0,10.01,40
1.0,20,0.975,1.0,20.025,40
