curve,strategy,capital_multiple,capital_parent,capital_usd,trial,attacker_avg,best_honest_avg,is_top,snipe_fees,hop_fees,protocol_fees,price_impact_loss,round_trip_loss,mark_to_market,capital_deployed,cost_parent,cost_usd,cost_pct_of_capital,fee_share_of_cost,win_h0.0025,win_h0.005,win_h0.01,win_h0.0015
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,0,3183835.261902308,6627919.147231575,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,1,3183835.261902308,5085583.8927977355,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,2,3183835.261902308,7634781.101541624,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,3,3183835.261902308,6003466.1741072135,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,4,3183835.261902308,7304795.295941547,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,5,3183835.261902308,5600216.8604083,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,6,3183835.261902308,6332156.854602197,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,7,3183835.261902308,6116248.203583747,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,8,3183835.261902308,5947782.11316951,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,9,3183835.261902308,6780419.491766369,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
