budget_label,budget_eth,budget_usd,parent_deposited,parent_undeployed,pool_reserve_parent,deposit_frac_of_reserve
fee_funded_3_rounds,0.375,1500.0,1531986.5891626421,0.0,213884612.6229818,0.007162677905507406
cap_max,25.0,100000.0,4247052.520676383,51359283.27303971,216599678.5544955,0.0196078431372549
