buy_fee_pct,sell_fee_pct,round_trip_fee_pct,epsilon,volume_index,fee_pot_usd,developer_usd,creator_usd,flywheel_usd,p_clean_run_to_20,mean_rounds_to_reach
1.0,1.0,2.0,0.5,1.0,50000.0,10000.0,20000.0,20000.0,0.405,20.78
1.0,1.0,2.0,1.0,1.0,50000.0,10000.0,20000.0,20000.0,0.395,20.86
1.0,1.0,2.0,1.5,1.0,50000.0,10000.0,20000.0,20000.0,0.325,20.905
1.0,2.0,3.0,0.5,0.816496580927726,61237.243569579456,12247.448713915892,24494.897427831784,24494.897427831784,0.205,21.5
1.0,2.0,3.0,1.0,0.6666666666666666,49999.99999999999,10000.0,20000.0,20000.0,0.085,22.175
1.0,2.0,3.0,1.5,0.5443310539518174,40824.8290463863,8164.965809277261,16329.931618554521,16329.931618554521,0.01,22.995
1.0,3.0,4.0,0.5,0.7071067811865476,70710.67811865476,14142.135623730952,28284.271247461904,28284.271247461904,0.11,21.9
1.0,3.0,4.0,1.0,0.5,50000.0,10000.0,20000.0,20000.0,0.015,23.38
1.0,3.0,4.0,1.5,0.3535533905932738,35355.33905932738,7071.067811865476,14142.135623730952,14142.135623730952,0.0,25.625
1.0,5.0,6.0,0.5,0.5773502691896257,86602.54037844385,17320.508075688773,34641.016151377546,34641.016151377546,0.025,22.95
1.0,5.0,6.0,1.0,0.3333333333333333,49999.99999999999,10000.0,20000.0,20000.0,0.0,26.01
1.0,5.0,6.0,1.5,0.19245008972987526,28867.513459481288,5773.502691896258,11547.005383792515,11547.005383792515,0.0,30.325
1.0,10.0,11.0,0.5,0.4264014327112209,117260.39399558575,23452.078799117153,46904.157598234306,46904.157598234306,0.0,24.415
1.0,10.0,11.0,1.0,0.18181818181818182,50000.0,10000.0,20000.0,20000.0,0.0,30.82
1.0,10.0,11.0,1.5,0.07752753322022198,21320.071635561042,4264.014327112209,8528.028654224418,8528.028654224418,0.0,39.375
