n_candidates,snipe_tax,trial,parent_absorbed_total,parent_absorbed_usd,head_eth_in,head_eth_in_usd,head_fdv_move,winner_avg,score_cv,top1_share,block1_share_of_first_second,block1_snipe_usd,block1_cost_usd
5,True,0,59507748.06234524,14876.937015586309,6.9574357393994655,27829.74295759786,2.4246015158173497,8973761.0329929,0.27750570213248077,0.2925655900381507,0.976771687319936,311.13333333333395,-1151.9146814232581
5,True,1,70421193.98305672,17605.298495764182,9.75509701619082,39020.38806476328,3.807453428110075,7392132.142217803,0.08581285939352164,0.22115797979190993,1.0,311.13333333333395,-1272.9825379743033
5,True,2,58526792.34167849,14631.698085419623,6.74812906177524,26992.516247100957,2.33055019668295,8531662.009098217,0.2836257990522228,0.2724403438360281,1.0,311.13333333333395,-1140.9029144389717
5,True,3,59775999.3653045,14943.999841326126,7.015698483123972,28062.79393249589,2.4510146977443577,7866053.717473998,0.23571719334966024,0.28131393535793914,1.0,311.13333333333395,-1116.2051662033343
5,True,4,82213287.45505615,20553.32186376404,14.230416626890582,56921.66650756233,6.506022630757349,9181413.861566646,0.17090852793389857,0.2404844204315091,0.9815828107631198,311.13333333333395,-1408.914788641834
5,True,5,65151158.89450795,16287.78972362699,8.285588047024389,33142.35218809755,3.051921764447351,9320570.536088852,0.3564460839813523,0.2927086690561848,0.9411365132745048,311.13333333333395,-1212.5984796485295
5,True,6,56282510.47974244,14070.627619935609,6.290368848928974,25161.475395715897,2.1294208410162536,6507375.502519709,0.11708422629007728,0.23042612854713038,0.9746678788057043,311.13333333333395,-1108.7402121969476
5,True,7,69654354.75522536,17413.58868880634,9.525171901002423,38100.68760400969,3.6849802637515854,8095736.820501728,0.0772997425189207,0.21852282756729782,0.9769222240254927,311.13333333333395,-1263.729483081874
5,False,0,61511021.576164484,15377.755394041122,7.403644276839624,29614.577107358495,2.6294755632225555,7360021.358074928,0.22146823089786086,0.24674098518579418,1.0,0.0,-11140.82622176932
5,False,1,63763198.33652208,15940.79958413052,7.937782309574285,31751.12923829714,2.8825481571368385,7537820.609075968,0.14624632511324356,0.23302708048415563,0.8798839305556602,0.0,-11051.714993620833
