generation,attempt,winner,winner_interest,best_avg_parent,threshold_parent,avg_over_threshold,embedded_parent,float_frac,fdv_parent,fdv_eth,fdv_usd,edge_volume_eth,protocol_fee_eth,creator_usd,dev_usd,ancestor_usd,reinforce_usd,fdv_vs_parent,backing_frac
1,1,c2,2.402516867937255,16333820.244461965,1500000.0,10.889213496307976,37251456.27930395,0.4477977426865032,265377444.83285823,17.94373587469219,71774.94349876876,1.129314948842077,0.011333173319610243,18.13307731137639,9.066538655688195,9.066538655688188,9.066538655688195,0.26537744483285824,0.14037159903610463
2,2,c4,1.8082183828328466,12233469.186421625,1500000.0,8.155646124281084,27377366.40090704,0.4055868461405945,206196358.31497586,3.866354183524315,15465.41673409726,0.25215521656654194,0.0025303536342564906,4.048565814810385,2.0242829074051927,2.024282907405191,2.0242829074051927,0.20619635831497585,0.132773277979462
3,3,c1,1.6203788168135278,10645296.452374013,1500000.0,7.096864301582675,23871997.609142967,0.38773449072975896,186980101.90793422,0.7449188210643248,2979.675284257299,0.049261769817640605,0.0004943257120683338,0.790921139309334,0.395460569654667,0.395460569654667,0.395460569654667,0.1869801019079342,0.1276713263366234
4,4,c4,2.268340597886532,18485725.008188922,1500000.0,12.323816672125949,40409448.79404058,0.45926311258360136,285878861.09726816,0.22126104494000345,885.0441797600138,0.014272952322175392,0.00014322869668279117,0.2291659146924659,0.11458295734623294,0.11458295734623285,0.11458295734623294,0.2858788610972682,0.1413516502722164
5,5,c4,1.357292995607187,10113480.682827713,1500000.0,6.742320455218476,22010006.970617197,0.37750384185478975,177154926.89062116,0.04043744141550389,161.74976566201556,0.002675074458511245,2.6843262020107238e-05,0.042949219232171584,0.021474609616085792,0.021474609616085782,0.021474609616085792,0.17715492689062115,0.12424157406701196
6,6,c3,1.4290528278727193,9439816.62802033,1500000.0,6.293211085346886,20941155.03139226,0.3713741536668383,171634701.15521342,0.007107890663671115,28.43156265468446,0.0004731488894386804,4.747792905462967e-06,0.007596468648740747,0.0037982343243703736,0.003798234324370374,0.0037982343243703736,0.17163470115521343,0.12201002996739375
7,7,c1,1.2023628605335483,10383351.561988035,1500000.0,6.92223437465869,24632165.888138216,0.39175627367066906,191067507.6565296,0.001391785383881075,5.5671415355243,9.21648237318605e-05,9.248268922468719e-07,0.0014797230275949951,0.0007398615137974976,0.0007398615137974978,0.0007398615137974976,0.1910675076565296,0.12891865388445825
8,8,c0,1.955863624829572,16870554.538530774,1500000.0,11.247036359020516,37661177.86789596,0.4493341065894903,267994263.5380644,0.00038624312276230285,1.5449724910492115,2.5005221738383584e-05,2.5092135315648866e-07,0.00040147416505038186,0.00020073708252519093,0.00020073708252519093,0.00020073708252519093,0.2679942635380644,0.14052979108840805
9,9,c1,1.8250804095395916,15371702.936505489,1500000.0,10.247801957670326,34860929.54016135,0.4385235884886484,250365554.78266627,0.00010069777390350396,0.4027910956140158,6.509477560788503e-06,6.532089703868908e-08,0.00010451343526190252,5.225671763095126e-05,5.225671763095126e-05,5.225671763095126e-05,0.25036555478266626,0.13924011859547902
10,10,c1,1.3581418522777933,11273617.010250982,1500000.0,7.515744673500655,25710275.077539653,0.39731406294056454,196940259.1811072,2.0495266905785813e-05,0.08198106762314325,1.3452822570614581e-06,1.3499216484970785e-08,2.1598746375953256e-05,1.0799373187976628e-05,1.0799373187976628e-05,1.0799373187976628e-05,0.1969402591811072,0.13054859978576733
