shock,reinforcement,external_market,dst,mode,hops,uses_external,slippage_frac,slippage_usd_on_5k,protocol_fee_eth,hop_fee_legs,exhausted,tokens_out,link6_drawdown,excess_slippage_vs_healthy
0.0,none,healthy,10,FULL_LINE,11,False,0.09047033060334064,452.3516530167032,0.0125,11,False,4821747.408810332,,0.0
0.0,none,healthy,10,PARENT_SOURCED,2,True,0.03485851682356356,174.2925841178178,0.0,2,False,5116565.849609255,,0.0
0.0,none,healthy,10,DEPTH_CAPPED(3),2,True,0.03485851682356356,174.2925841178178,0.0,2,False,5116565.849609255,,0.0
0.0,none,healthy,12,FULL_LINE,13,False,0.10378183024957843,518.9091512478922,0.0125,13,False,4751178.310202252,,0.0
0.0,none,healthy,12,PARENT_SOURCED,4,True,0.049748306647369844,248.74153323684922,0.0,4,False,5037629.661031378,,0.0
0.0,none,healthy,12,DEPTH_CAPPED(3),4,True,0.049748306647369844,248.74153323684922,0.0,4,False,5037629.661031378,,0.0
0.5,none,independent,10,FULL_LINE,11,False,0.10273797701118426,513.6898850559213,0.0125,11,False,6942491.803091412,0.3148407962741301,0.012267646407843613
0.5,none,independent,10,PARENT_SOURCED,11,False,0.10273797701118426,513.6898850559213,0.0125,11,False,6942491.803091412,0.3148407962741301,0.0678794601876207
0.5,none,independent,10,DEPTH_CAPPED(3),11,False,0.10273797701118426,513.6898850559213,0.0125,11,False,6942491.803091412,0.3148407962741301,0.0678794601876207
0.5,none,independent,12,FULL_LINE,13,False,0.12095637374132284,604.7818687066142,0.0125,13,False,6801528.44264165,0.3148407962741301,0.01717454349174441
0.5,none,independent,12,PARENT_SOURCED,13,False,0.12095637374132284,604.7818687066142,0.0125,13,False,6801528.44264165,0.3148407962741301,0.071208067093953
0.5,none,independent,12,DEPTH_CAPPED(3),13,False,0.12095637374132284,604.7818687066142,0.0125,13,False,6801528.44264165,0.3148407962741301,0.071208067093953
0.5,none,arbitraged,10,FULL_LINE,11,False,0.09237743314673053,461.88716573365264,0.0125,11,False,5430312.335755066,0.29642966355640044,0.0019071025433898825
0.5,none,arbitraged,10,PARENT_SOURCED,2,True,0.056379464071271146,281.89732035635575,0.0,2,False,5645688.443260113,0.29642966355640044,0.02152094724770759
0.5,none,arbitraged,10,DEPTH_CAPPED(3),2,True,0.056379464071271146,281.89732035635575,0.0,2,False,5645688.443260113,0.29642966355640044,0.02152094724770759
0.5,none,arbitraged,12,FULL_LINE,13,False,0.1071435524109734,535.717762054867,0.0125,13,False,5341966.538151278,0.29642966355640044,0.0033617221613949644
0.5,none,arbitraged,12,PARENT_SOURCED,4,True,0.07227550072844069,361.37750364220346,0.0,4,False,5550582.341779718,0.29642966355640044,0.022527194081070845
0.5,none,arbitraged,12,DEPTH_CAPPED(3),4,True,0.07227550072844069,361.37750364220346,0.0,4,False,5550582.341779718,0.29642966355640044,0.022527194081070845
0.5,fee_funded_3_rounds,independent,10,FULL_LINE,11,False,0.1010698371399339,505.3491856996695,0.0125,11,False,6750869.976260216,0.311957317278321,0.01059950653659325
0.5,fee_funded_3_rounds,independent,10,PARENT_SOURCED,11,False,0.1010698371399339,505.3491856996695,0.0125,11,False,6750869.976260216,0.311957317278321,0.06621132031637034
0.5,fee_funded_3_rounds,independent,10,DEPTH_CAPPED(3),11,False,0.1010698371399339,505.3491856996695,0.0125,11,False,6750869.976260216,0.311957317278321,0.06621132031637034
0.5,fee_funded_3_rounds,independent,12,FULL_LINE,13,False,0.11886407080350536,594.3203540175268,0.0125,13,False,6617237.172786624,0.311957317278321,0.015082240553926929
0.5,fee_funded_3_rounds,independent,12,PARENT_SOURCED,13,False,0.11886407080350536,594.3203540175268,0.0125,13,False,6617237.172786624,0.311957317278321,0.06911576415613552
0.5,fee_funded_3_rounds,independent,12,DEPTH_CAPPED(3),13,False,0.11886407080350536,594.3203540175268,0.0125,13,False,6617237.172786624,0.311957317278321,0.06911576415613552
0.5,fee_funded_3_rounds,arbitraged,10,FULL_LINE,11,False,0.09161970681604958,458.09853408024793,0.0125,11,False,5389004.701874685,0.2951910300533289,0.0011493762127089413
0.5,fee_funded_3_rounds,arbitraged,10,PARENT_SOURCED,2,True,0.05621615856793982,281.0807928396991,0.0,2,False,5599037.756756771,0.2951910300533289,0.021357641744376266
0.5,fee_funded_3_rounds,arbitraged,10,DEPTH_CAPPED(3),2,True,0.05621615856793982,281.0807928396991,0.0,2,False,5599037.756756771,0.2951910300533289,0.021357641744376266
0.5,fee_funded_3_rounds,arbitraged,12,FULL_LINE,13,False,0.10629759521777937,531.4879760888969,0.0125,13,False,5301927.505017777,0.2951910300533289,0.0025157649682009398
0.5,fee_funded_3_rounds,arbitraged,12,PARENT_SOURCED,4,True,0.07199709139599464,359.9854569799732,0.0,4,False,5505416.701953534,0.2951910300533289,0.022248784748624795
0.5,fee_funded_3_rounds,arbitraged,12,DEPTH_CAPPED(3),4,True,0.07199709139599464,359.9854569799732,0.0,4,False,5505416.701953534,0.2951910300533289,0.022248784748624795
0.5,cap_max,independent,10,FULL_LINE,11,False,0.05398055297253834,269.9027648626917,0.0125,11,False,2090321.9479637875,0.3068021589886645,-0.0364897776308023
0.5,cap_max,independent,10,PARENT_SOURCED,2,True,-1.3156101864796552,-6578.050932398276,0.0,2,False,5116565.849609255,0.3068021589886645,-1.3504687033032188
0.5,cap_max,independent,10,DEPTH_CAPPED(3),2,True,-1.3156101864796552,-6578.050932398276,0.0,2,False,5116565.849609255,0.3068021589886645,-1.3504687033032188
0.5,cap_max,independent,12,FULL_LINE,13,False,0.06082687150251298,304.1343575125649,0.0125,13,False,2075194.3415166638,0.3068021589886645,-0.04295495874706545
0.5,cap_max,independent,12,PARENT_SOURCED,4,True,-1.2798859433592877,-6399.429716796439,0.0,4,False,5037629.661031378,0.3068021589886645,-1.3296342500066576
