policy,rounds,eth_deployed,usd_deployed,parent_deposited,tokens_burned,burned_frac_of_supply,depth_within_20pct_parent,depth_within_50pct_parent,fdv_pre_shock,fdv_post_shock,shock_drawdown,eth_price_post_shock,drawdown_vs_none,depth_gain_vs_none
SINGLE_SIDED_BID,20,5.0,20000.0,8117239.449177659,0.0,0.0,36110185.264149494,82153034.8173819,1000000000.0,254135845.58152407,0.7458641544184759,1.9436794962244347e-07,-0.031310528921811076,0.10963939009242729
BUY_AND_BURN,20,5.0,20000.0,0.0,7870392.600548727,0.007870392600548727,28849262.86512029,80037213.56844601,1062116693.3649828,249611626.76290083,0.7649866268723403,1.909077406408774e-07,-0.012188056467946629,0.08106103500873818
TWO_SIDED,20,5.0,20000.0,4083391.7629573857,0.0,0.0,32769130.994955476,81479902.7530197,1028348116.5890303,251508754.64954036,0.7554245001354405,1.9235870029064308e-07,-0.02175018320484645,0.10054740882830382
NONE,0,0.0,0.0,0.0,0.0,0.0,27992945.814971827,74035795.36820424,1000000000.0,222825316.65971303,0.7771746833402869,1.0507709910898746e-07,0.0,0.0
