demand_regime,k,p_reach_k_in_k_rounds,p_reach_k_in_2k_rounds,mean_rounds_to_reach_k,budget_rounds
0.2,5,0.0,0.58,10.01,40
0.2,10,0.0,0.925,17.51,40
0.2,20,0.0,1.0,30.23,40
0.35,5,0.1,0.985,7.225,40
0.35,10,0.015,1.0,13.745,40
0.35,20,0.0,1.0,25.73,40
0.5,5,0.325,1.0,6.18,40
0.5,10,0.08,1.0,12.14,40
0.5,20,0.005,1.0,23.62,40
1.0,5,0.795,1.0,5.245,40
1.0,10,0.645,1.0,10.46,40
1.0,20,0.34,1.0,20.935,40
