curve,honest_leader_avg_absorption_parent,honest_leader_avg_usd,rounds
SINGLE_LIKE,6405545.177953276,1601.386294488319,20
WALL_LIKE,6352620.931631629,1588.1552329079075,20
GENTLE_LIKE,6080268.510785364,1520.067127696341,20
OVERRIDE,6511231.027629679,1627.8077569074198,20
