demand_regime,chains,mean_index_reached,rounds_simulated,frac_rounds_no_winner,wins,rounds_per_win,zombie_win_rate
0.2,200,20.0,4485,0.10813823857302118,4000,1.12125,0.0
0.35,200,20.0,4130,0.031476997578692496,4000,1.0325,0.0
0.5,200,20.0,4040,0.009900990099009901,4000,1.01,0.0
1.0,200,20.0,4005,0.0012484394506866417,4000,1.00125,0.0
