n_candidates,snipe_tax,parent_absorbed_total,parent_absorbed_usd,head_eth_in,head_eth_in_usd,head_fdv_move,winner_avg,score_cv,top1_share,block1_share_of_first_second,block1_snipe_usd,block1_cost_usd
5,False,66472067.059739605,16618.016764934902,8.833422674381818,35333.69069752727,3.382864065712739,8320390.069556158,0.207085474823044,0.2505778210495551,0.9274502740487708,0.0,-12777.787655660159
5,True,67633444.2808717,16908.36107021793,9.471669640472953,37886.678561891815,3.8098755579880277,8759484.503865754,0.23271231926502484,0.26125076339145215,0.9886840553458535,311.13333333333395,-2179.5599712018056
10,False,66923276.60647446,16730.819151618616,8.882789280123653,35531.15712049461,3.3820699431171137,5361711.758602666,0.33918120316365413,0.14928395859808236,0.929684931807728,0.0,-8618.534727709362
10,True,72266038.07433139,18066.509518582847,10.482585716715104,41930.34286686042,4.247979258432127,5384765.956950734,0.3002704694668026,0.14798508148181583,0.9740088314495464,311.13333333333395,-566.2340265766007
20,False,71014755.73951523,17753.688934878806,10.284485581205734,41137.942324822936,4.196355613067534,3922093.7817485873,0.45384873527477193,0.10655722893140834,0.9745486710687141,0.0,-4763.709356062391
20,True,73020616.50485343,18255.154126213358,10.732121725713927,42928.48690285571,4.38880349632845,3523273.8292178353,0.4513261646303862,0.09604386540685937,0.9444901310474448,311.13333333333395,13.765137012553284
50,False,75637868.32652847,18909.46708163212,11.681637738779164,46726.55095511666,4.953345202677754,2049670.2310087997,0.6075768093610112,0.05295293471543827,0.9112023346370574,0.0,-1672.4351416279728
50,True,74153778.09452796,18538.44452363199,11.36769659703143,45470.78638812572,4.8211804838605135,2086780.5918161878,0.6403467724577956,0.05500348246663001,0.9888783616366168,311.13333333333395,232.7373094828341
