generation,attempt,winner,winner_interest,best_avg_parent,threshold_parent,avg_over_threshold,embedded_parent,float_frac,fdv_parent,fdv_eth,fdv_usd,edge_volume_eth,protocol_fee_eth,creator_usd,dev_usd,ancestor_usd,reinforce_usd,fdv_vs_parent,backing_frac
1,1,c2,2.402516867937255,16802000.470800225,5000000.0,3.360400094160045,41872937.170431934,0.995930596044239,4536610482.251923,322.4074571090396,1289629.8284361586,9.451075699051467,0.0949558174198757,151.92930787180114,75.96465393590057,75.96465393590051,75.96465393590057,4.536610482251922,0.009230004941849598
2,2,c4,1.8082183828328466,12507814.20177083,5000000.0,2.501562840354166,25988456.406382747,0.9845448403605837,695308773.5426948,664.0009322838789,2656003.7291355156,18.811784224139835,0.189013321447887,302.4213143166192,151.2106571583096,151.21065715830952,151.2106571583096,0.6953087735426948,0.037376856722183945
3,3,c1,1.6203788168135278,11391629.705869276,5000000.0,2.278325941173855,24204149.232581135,0.9817971433642876,606490295.0294346,1168.3079428691344,4673231.771476538,23.385173999434052,0.23495125251953589,375.9220040312574,187.9610020156287,187.96100201562868,187.9610020156287,0.6064902950294345,0.03990855159752629
4,4,c4,2.268340597886532,18572710.69544349,5000000.0,3.7145421390886977,35915856.171683595,0.9940522448419485,2217082858.805635,6576.0982343365595,26304392.93734624,22.919547199609767,0.23024795151120975,368.3967224179356,184.1983612089678,184.1983612089677,184.1983612089678,2.217082858805635,0.016199600312201155
5,5,c4,1.357292995607187,11110685.730862044,5000000.0,2.222137146172409,21078243.397622943,0.9759141643465253,465514622.8688964,7652.787606336626,30611150.4253465,22.204894580625762,0.22302923818813902,356.8467811010225,178.42339055051124,178.42339055051116,178.42339055051124,0.46551462286889644,0.045279444215352266
6,6,c3,1.4290528278727193,10444077.864821112,5000000.0,2.088815572964222,19841087.547398113,0.9730989891512618,414862943.24063796,6881.203573144989,27524814.292579956,21.54610492923149,0.21637479726496456,346.19967562394334,173.09983781197167,173.09983781197158,173.09983781197167,0.41486294324063794,0.04782564427763182
7,7,c1,1.2023628605335483,11251661.50253889,5000000.0,2.250332300507778,22802686.609307867,0.979350459630257,540982870.820061,7136.425924828699,28545703.699314795,21.018703222896512,0.21104750730198496,337.67601168317594,168.83800584158797,168.8380058415879,168.83800584158797,0.540982870820061,0.04215047802667376
8,8,c0,1.955863624829572,17215407.54413816,5000000.0,3.443081508827632,33827405.85920808,0.992942842932423,1598411339.827694,19477.13521752902,77908540.87011608,20.797988390361162,0.20881806454910268,334.1089032785643,167.05445163928215,167.05445163928215,167.05445163928215,1.598411339827694,0.021163141812328867
9,9,c1,1.8250804095395916,15896938.101958806,5000000.0,3.1793876203917613,32257259.13319024,0.991809020450179,1199780490.0425417,36719.061825261684,146876247.30104673,20.925066042877006,0.21010167720077783,336.16268352124456,168.08134176062228,168.08134176062217,168.08134176062228,1.1997804900425417,0.026885967392290624
10,10,c1,1.3581418522777933,12012163.278532607,5000000.0,2.4024326557065216,23401892.716703847,0.9804309144639978,568533048.0571585,34488.25913688811,137953036.54755244,21.37790160543306,0.21467577379225317,343.4812380676051,171.74061903380255,171.74061903380243,171.74061903380255,0.5685330480571584,0.04116188636117965
11,11,c0,1.6158668548799533,12091791.947295118,5000000.0,2.4183583894590237,25355327.931539502,0.9836124153985787,663098736.0155576,45832.74489857774,183330979.59431094,21.041264084561398,0.21127539479354945,338.0406316696791,169.02031583483955,169.02031583483955,169.02031583483955,0.6630987360155577,0.03823763574621655
