depth_M,Z_M,genesis_share_of_sleeve,newest_ancestor_share,min_weight_share,genesis_over_newest,even_split_share,genesis_over_even,with_10pct_floor,floor_multiple
5,5.8,0.3448275862068966,0.1724137931034483,0.07543103448275862,2.0,0.16666666666666666,2.0689655172413794,0.41034482758620694,1.19
20,18.2,0.10989010989010989,0.054945054945054944,0.02403846153846154,2.0,0.047619047619047616,2.3076923076923075,0.19890109890109892,1.8100000000000003
100,84.84,0.023573785950023574,0.011786892975011787,0.005156765676567657,2.0,0.009900990099009901,2.380952380952381,0.12121640735502122,5.142
1000,834.834,0.002395685848923259,0.0011978429244616296,0.0005240562794519629,2.0,0.000999000999000999,2.3980815347721824,0.10215611726403094,42.6417
