curve,honest_leader_avg_absorption_parent,honest_leader_avg_usd,rounds
SINGLE_LIKE,6419650.060688015,1604.9125151720039,20
WALL_LIKE,6354869.462635925,1588.7173656589812,20
GENTLE_LIKE,6082299.274631776,1520.574818657944,20
