curve,strategy,capital_multiple,capital_parent,capital_usd,trial,attacker_avg,best_honest_avg,is_top,snipe_fees,hop_fees,protocol_fees,price_impact_loss,round_trip_loss,mark_to_market,capital_deployed,cost_parent,cost_usd,cost_pct_of_capital,fee_share_of_cost,win_h0.0025,win_h0.005,win_h0.01,win_h0.0015
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,0,3206527.0018250933,6467249.5794419,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,1,3206527.0018250933,6157770.5314885415,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,2,3206527.0018250933,6062463.315310662,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,3,3206527.0018250933,6306385.125140712,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,4,3206527.0018250933,6243380.712624881,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,5,3206527.0018250933,7810309.951177467,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,6,3206527.0018250933,6528870.235463332,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,7,3206527.0018250933,6903695.466637338,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,8,3206527.0018250933,6133380.824497388,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,9,3206527.0018250933,6740332.9250746835,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,10,3206527.0018250933,6839283.99503342,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,11,3206527.0018250933,6287595.706344894,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,12,3206527.0018250933,6360702.330500156,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,13,3206527.0018250933,6230696.578733467,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,14,3206527.0018250933,6701158.341942873,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,15,3206527.0018250933,5698876.855946712,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,16,3206527.0018250933,7416689.627895304,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,17,3206527.0018250933,7096155.233661172,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,18,3206527.0018250933,6939870.715075464,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,19,3206527.0018250933,6500556.493589566,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,20,3206527.0018250933,7018057.535628199,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3220024.89897592,805.00622474398,21,3206527.0018250933,6162357.274202236,False,0.0,4828.226084458332,0.0,-1.5552359400317073e-10,4828.226084458176,0.0,3220024.89897592,4828.226084458176,1.207056521114544,0.0014994374999999908,1.0000000000000322,False,False,False,False
