n_candidates,snipe_tax,trial,parent_absorbed_total,parent_absorbed_usd,head_eth_in,head_eth_in_usd,head_fdv_move,winner_avg,score_cv,top1_share,block1_share_of_first_second,block1_snipe_usd,block1_cost_usd
5,True,0,62500107.66856043,15625.026917140109,7.633796867319527,30535.187469278106,2.737475341731409,10016297.302748708,0.3519707503409014,0.3230093709942436,0.9663733876510823,311.13333333333395,-1830.8740687572677
5,True,1,59832253.98608963,14958.063496522409,7.027973620602829,28111.894482411317,2.4565925232579477,6819194.714438982,0.13421754906861788,0.23087303234935055,1.0,311.13333333333395,-1630.9573243398995
5,True,2,76482165.13630863,19120.541284077157,11.806555880566316,47226.22352226527,4.970143561188106,10576162.641093804,0.2162995426102826,0.27117979322674646,0.9430990551157453,311.13333333333395,-2649.2137602373186
5,True,3,67415165.55105159,16853.791387762896,8.8863078875925,35545.23155037,3.352974974286311,9162719.746139351,0.3278854042084998,0.284402223750069,1.0,311.13333333333395,-2169.030362070828
5,True,4,50011624.75829655,12502.906189574138,5.148382929053494,20593.531716213976,1.6549626979788452,6016422.461211879,0.26037294242979653,0.2506225612844855,1.0,311.13333333333395,-1153.1824574513737
5,True,5,65060317.4410142,16265.07936025355,8.262365874636673,33049.46349854669,3.0405004318026236,7463715.518064958,0.2357516454449468,0.24304787335955227,1.0,311.13333333333395,-2052.5170812678334
5,True,6,73796082.45787334,18449.020614468336,10.842284545221048,43369.13818088419,4.407962294096677,9034691.917955361,0.1327642097347783,0.23091107422361762,1.0,311.13333333333395,-2537.3175662953
5,True,7,85969837.24777927,21492.45931194482,16.165689518791247,64662.75807516499,7.858392639562302,10986671.729272986,0.20243651028237522,0.25596017794355197,1.0,311.13333333333395,-3413.387149194623
5,False,0,64752470.88235094,16188.117720587734,8.18415460045295,32736.618401811804,3.0021524451855663,8307493.305956173,0.2620199481929521,0.26998437318640217,1.0,0.0,-12506.99217342623
5,False,1,57322985.36863311,14330.746342158276,6.499050716308601,25996.202865234405,2.2203340196136505,6993959.096550021,0.16006959404323812,0.24340910484038042,1.0,0.0,-10785.365265877948
5,False,2,73474489.5449699,18368.622386242474,10.733037583038294,42932.15033215318,4.346022884276717,8974792.630088935,0.18717993561944984,0.2384229742004207,1.0,0.0,-14532.696379264236
5,False,3,65980173.99627271,16495.04349906818,8.500582978853172,34002.33191541269,3.1584279156956736,9920680.4081598,0.36022367877624667,0.29594034411389664,1.0,0.0,-12838.719484077486
5,False,4,60376929.76469678,15094.232441174194,7.147859248764804,28591.436995059215,2.5113053865224346,7173609.056100828,0.25773103967931243,0.2511321174418154,1.0,0.0,-11521.28579712743
5,False,5,64003111.64757007,16000.77791189252,7.996847347512022,31987.389390048087,2.911056615154973,7283616.363849503,0.11850821528998239,0.21746734238440604,0.8252913625235593,0.0,-12059.701360506415
5,False,6,66432504.64784555,16608.126161961387,8.620273854244493,34481.09541697797,3.218320185688328,8040733.6908529075,0.1084297242235491,0.23701956571642077,0.8235191099298435,0.0,-12584.522906330842
5,False,7,79433870.6255778,19858.467656394452,12.985575065880203,51942.30026352081,5.695293073564568,9868236.004891103,0.20252166275962155,0.25124674651269885,0.7707917199367633,0.0,-15393.017878670675
10,True,0,69407641.49015094,17351.910372537735,9.452446965289637,37809.78786115855,3.6465711637575637,5693909.907359691,0.33176961238722175,0.15547617928124657,0.9212490770401546,311.13333333333395,-503.4624344754328
10,True,1,75763230.77339531,18940.80769334883,11.539013958952953,46156.055835811814,4.811377582777482,5117427.630488024,0.18730899433622786,0.1384874791774256,0.9607529483659986,311.13333333333395,-611.6111686138204
10,True,2,74253872.65107743,18563.46816276936,10.999993602659757,43999.97441063903,4.498007346501916,6822876.223131571,0.317572206702878,0.16182854355756238,1.0,311.13333333333395,-599.393016069359
10,True,3,67476519.16211052,16869.12979052763,8.903197767575124,35612.791070300496,3.36159531192662,5050842.066698681,0.39763287367926253,0.1621285139237833,0.9100686261902182,311.13333333333395,-485.4112654578719
10,True,4,77313207.91529065,19328.301978822663,12.125007972939704,48500.031891758816,5.161909944742884,5137875.234919066,0.28354017579819113,0.13567542922642234,1.0,311.13333333333395,-671.5125461577123
10,True,5,65140453.36075282,16285.113340188205,8.282847938508695,33131.39175403478,3.050573261422177,5219670.803091101,0.33912960895014876,0.16047189262567604,1.0,311.13333333333395,-430.9846189260765
10,True,6,80412281.31204627,20103.07032801157,13.407696867268399,53630.7874690736,5.965018378693852,5257184.575946361,0.27524156055860793,0.13835804079380637,1.0,311.13333333333395,-754.7962186543334
10,True,7,68361097.92982715,17090.27448245679,9.150480660526567,36601.92264210627,3.488781077634523,4778341.213971383,0.2699687233218825,0.13145457326860402,1.0,311.13333333333395,-472.7009442581995
10,False,0,73802158.86503999,18450.53971626,10.844360885794899,43377.443543179594,4.409142965094987,6419030.774515168,0.40738013122614103,0.161993952960751,0.8192405462737102,0.0,-9616.891236267305
10,False,1,72328700.69893058,18082.175174732645,10.353801908024042,41415.20763209617,4.133777527612462,4733391.6794512505,0.22617127763988112,0.12506777388996593,0.8675647513670789,0.0,-9459.491959419578
10,False,2,66474741.01496271,16618.685253740678,8.631537729858016,34526.15091943206,3.2239785767337317,5083680.654150185,0.30246347600652335,0.14183119954236217,1.0,0.0,-8628.19121894321
10,False,3,66453632.18095939,16613.40804523985,8.625906398069537,34503.62559227815,3.2211492115812854,6131933.059596358,0.37655988014474545,0.17303343211869432,1.0,0.0,-8664.817610437784
10,False,4,65810781.61342448,16452.69540335612,8.456197944762549,33824.791779050196,3.136326874912327,4988733.359969331,0.2780618261282278,0.13896261641423543,0.7506741568210349,0.0,-8004.987360646008
10,False,5,66234903.36573609,16558.72584143402,8.56777609942122,34271.10439768488,3.1919980459307116,5989831.030442044,0.37416768892235297,0.168347232509143,1.0,0.0,-8567.408242056394
10,False,6,53852810.88626502,13463.202721566255,5.825421729709819,23301.686918839277,1.9315456284523687,4578697.414022023,0.4124758127838858,0.14723694345023197,1.0,0.0,-6628.746898735467
10,False,7,70428484.22647744,17607.121056619362,9.75731154534914,39029.24618139656,3.8086407146190364,4968396.09667497,0.33616953245747566,0.13779851789927514,1.0,0.0,-9377.743295169153
20,True,0,75295580.01565337,18823.895003913345,11.368795690633954,45475.18276253581,4.711479545914338,3862923.125068725,0.4199041344534846,0.09770098870720967,1.0,311.13333333333395,1.2347042210445507
20,True,1,68507179.2942526,17126.794823563152,9.192007925875513,36768.031703502056,3.51031917543098,3316675.687847166,0.4585668958913291,0.09469567155658504,0.9406045114191874,311.13333333333395,49.63618855971325
20,True,2,80825602.81062895,20206.400702657236,13.591120563747976,54364.482254991904,6.083881599259703,3774987.690638325,0.41705206207579293,0.09032039280478985,0.9410611331136698,311.13333333333395,-34.5950317967519
20,True,3,66915761.109418035,16728.940277354508,8.750060519864105,35000.24207945642,3.2837482294234928,3310368.1820456614,0.4347617187449698,0.09497557019967164,1.0,311.13333333333395,48.82775911758095
20,True,4,66404366.603497095,16601.091650874274,8.612778186900938,34451.11274760375,3.214556850033939,3005374.8558557467,0.44068932210790035,0.08811146788504388,0.8477915130426077,311.13333333333395,53.16616057124728
20,True,5,78163145.31752804,19540.786329382012,12.461371128297673,49845.48451319069,5.367753963933969,3996949.0721689914,0.5183089437016455,0.10288572496718329,1.0,311.13333333333395,-24.81432505734521
20,True,6,75775819.19259983,18943.95479814996,11.543636946921165,46174.547787684656,4.814102811715256,2658994.933622069,0.31367581468123046,0.0777891576374227,0.8881962544033174,311.13333333333395,-0.7120642606496113
20,True,7,72277477.69524948,18069.36942381237,10.337202843470092,41348.811373880366,4.124585794915916,4259917.086495998,0.6076504253867369,0.12187194949696893,0.9382676364007765,311.13333333333395,17.37770474558696
20,False,0,68843924.91660206,17210.981229150515,9.288498634533871,37153.994538135485,3.560563078933379,3034407.8589089327,0.3220618315495171,0.09075803613328372,1.0,0.0,-4461.694708696092
20,False,1,63424101.46693146,15856.025366732865,7.85503082825719,31420.123313028762,2.8427825465035497,3703904.115269844,0.5535599715375542,0.11161563792902343,1.0,0.0,-4155.463903125292
20,False,2,64756740.64978554,16189.185162446385,8.185234285700252,32740.93714280101,3.002680583996602,3681817.809730513,0.48855202453098445,0.1006644583064612,0.796389368549713,0.0,-3989.668728714958
20,False,3,68926092.70409022,17231.523176022554,9.312205805532601,37248.823222130406,3.5729502844857484,4545830.688146775,0.5424283330282835,0.13042367512674705,1.0,0.0,-4615.1374035222525
20,False,4,60675026.66174794,15168.756665436986,7.214275522423024,28857.102089692096,2.5418010781898555,3355085.964053592,0.5446267981413556,0.10807379598744826,1.0,0.0,-3940.3006757530534
20,False,5,78209276.04218487,19552.31901054622,12.479946515384656,49919.78606153862,5.379220075337689,3954223.4764597216,0.4130639893003057,0.09530837783961162,1.0,0.0,-5517.296228591099
20,False,6,80739968.97568472,20184.99224392118,13.552862455382144,54211.44982152858,6.059006366498403,4093993.6940299957,0.35671822109174195,0.1020050095862308,1.0,0.0,-5600.23294063579
20,False,7,82542914.49909501,20635.728624773754,14.387830602432135,57551.32240972854,6.611840890595047,5007486.647389323,0.4097787130184328,0.1136088405424607,1.0,0.0,-5829.880259460591
50,True,0,66961241.294755094,16740.310323688773,8.76237830710531,35049.51322842124,3.2899840327030265,1746617.52977562,0.6521317593916532,0.050540922878318295,1.0,311.13333333333395,243.94897310851462
50,True,1,80375474.24259107,20093.868560647767,13.39151239833273,53566.04959333092,5.954578714413532,2050599.9110786596,0.6672581859926248,0.05574465015153179,0.9574368109659034,311.13333333333395,222.68369029081026
50,True,2,77298537.58640155,19324.634396600388,12.119298398693102,48477.19359477241,5.158445049498154,2093372.9146257914,0.5570872023063376,0.0501818520007202,1.0,311.13333333333395,230.69915767006432
