curve,step,cum_tokens_sold,cum_tokens_frac_of_float,cum_parent_released,fdv_parent,drawdown
WALL_LIKE,60,509817570.1436421,0.5999999999999992,205845137.67743766,185948151.4112436,0.8140518485887565
WALL_LIKE,61,518314529.64603615,0.6099999999999992,207410056.65528616,182690699.5593592,0.8173093004406409
WALL_LIKE,62,526811489.14843017,0.6199999999999991,208947680.2925738,179518100.3241072,0.8204818996758928
WALL_LIKE,63,535308448.6508242,0.6299999999999991,210458716.54384014,176427432.01733,0.82357256798267
WALL_LIKE,64,543805408.1532183,0.6399999999999991,211943849.09068602,173415897.62817174,0.8265841023718282
WALL_LIKE,65,552302367.6556123,0.6499999999999991,213382541.89301437,154632703.7068136,0.8453672962931864
WALL_LIKE,66,560799327.1580064,0.6599999999999993,214511144.3371528,114262892.26290168,0.8857371077370984
WALL_LIKE,67,569296286.6604005,0.6699999999999993,215361870.66644248,87861603.43798055,0.9121383965620194
WALL_LIKE,68,577793246.1627946,0.6799999999999993,216026096.8192951,69655819.68969549,0.9303441803103045
WALL_LIKE,69,586290205.6651887,0.6899999999999994,216559092.68672585,56573736.80519252,0.9434262631948075
WALL_LIKE,70,594787165.1675828,0.6999999999999994,216996252.3768441,46858668.36681386,0.9531413316331862
WALL_LIKE,71,603284124.6699768,0.7099999999999994,217361291.72429016,39447002.318788275,0.9605529976812117
WALL_LIKE,72,611781084.1723709,0.7199999999999994,217670697.81334817,33664199.8510017,0.9663358001489983
WALL_LIKE,73,620278043.674765,0.7299999999999995,217936288.1787748,29065709.324722275,0.9709342906752777
WALL_LIKE,74,628775003.1771591,0.7399999999999995,218166754.6563603,25348904.297612116,0.9746510957023878
WALL_LIKE,75,637271962.6795532,0.7499999999999996,218368632.7084143,22301989.587070517,0.9776980104129295
WALL_LIKE,76,645768922.1819472,0.7599999999999996,218546931.09312335,19773147.140435465,0.9802268528595646
WALL_LIKE,77,654265881.6843413,0.7699999999999997,218705553.0693479,17651251.540183943,0.982348748459816
WALL_LIKE,78,662762841.1867354,0.7799999999999997,218847585.4453452,15853450.09912124,0.9841465499008788
WALL_LIKE,79,671259800.6891295,0.7899999999999997,218975501.44317603,14316950.565806767,0.9856830494341933
WALL_LIKE,80,679756760.1915236,0.7999999999999998,219091305.9395316,12993462.82627126,0.9870065371737288
WALL_LIKE,81,688253719.6939176,0.8099999999999998,219196641.31576714,11845357.77936058,0.9881546422206394
WALL_LIKE,82,696750679.1963117,0.8199999999999998,219292865.84184113,10842962.810497126,0.9891570371895029
WALL_LIKE,83,705247638.6987058,0.8299999999999998,219381112.56423706,9962625.134357983,0.990037374865642
WALL_LIKE,84,713744598.2010999,0.84,219462334.13001308,9185303.590316106,0.9908146964096839
WALL_LIKE,85,722241557.703494,0.85,219537337.3155693,8495530.294213593,0.9915044697057864
WALL_LIKE,86,730738517.205888,0.86,219606809.91716975,7880635.155100374,0.9921193648448996
WALL_LIKE,87,739235476.7082821,0.87,219671341.90442407,7330159.86614019,0.9926698401338598
WALL_LIKE,88,747732436.2106762,0.8800000000000001,219731442.21568078,6835410.2511379495,0.993164589748862
WALL_LIKE,89,756229395.7130703,0.8900000000000001,219787552.20806438,6389110.855933396,0.9936108891440666
WALL_LIKE,90,764726355.2154644,0.9000000000000001,219840056.514573,5985135.941068387,0.9940148640589316
WALL_LIKE,91,773223314.7178584,0.9100000000000003,219889291.87326887,5618298.155313171,0.9943817018446869
WALL_LIKE,92,781720274.2202525,0.9200000000000003,219935554.35712558,5284181.176307468,0.9947158188236925
WALL_LIKE,93,790217233.7226466,0.9300000000000003,219979105.33262122,4979006.166492727,0.9950209938335073
WALL_LIKE,94,798714193.2250407,0.9400000000000003,220020176.40043744,4699524.455386091,0.9953004755446139
WALL_LIKE,95,807211152.7274348,0.9500000000000004,220058973.5155139,4442930.722879811,0.9955570692771202
WALL_LIKE,96,815708112.2298288,0.9600000000000004,220095680.44120052,4206792.326911746,0.9957932076730882
WALL_LIKE,97,824205071.7322229,0.9700000000000004,220130461.65977794,3988991.433401908,0.9960110085665981
WALL_LIKE,98,832702031.234617,0.9800000000000005,220163464.8366139,3787677.3650210914,0.9962123226349789
WALL_LIKE,99,841198990.7370111,0.9900000000000005,220194822.91583005,3601227.157388712,0.9963987728426112
SINGLE_LIKE,0,0.0,0.0,0.0,1000000000.0,0.0
SINGLE_LIKE,1,8497780.368307982,0.01,8114426.305686679,913179855.4426924,0.08682014455730758
SINGLE_LIKE,2,16995560.736615963,0.02,15538990.504898284,837194358.188068,0.16280564181193202
SINGLE_LIKE,3,25493341.104923945,0.03,22358080.16499205,770312934.4288075,0.22968706557119245
SINGLE_LIKE,4,33991121.47323193,0.04,28642858.437619604,711137224.154121,0.28886277584587894
SINGLE_LIKE,5,42488901.841539904,0.049999999999999996,34453756.90068743,658527390.0024738,0.34147260999752616
SINGLE_LIKE,6,50986682.20984788,0.05999999999999999,39842424.997133635,611546814.6866817,0.3884531853133183
SINGLE_LIKE,7,59484462.57815586,0.06999999999999999,44853269.42203553,569420123.8740311,0.43057987612596893
SINGLE_LIKE,8,67982242.94646384,0.07999999999999999,49524680.67678818,531500987.4241379,0.46849901257586213
SINGLE_LIKE,9,76480023.31477182,0.08999999999999998,53890018.52979572,497247179.81863075,0.5027528201813692
SINGLE_LIKE,10,84977803.6830798,0.09999999999999998,57978409.917896554,466201087.9107127,0.5337989120892872
SINGLE_LIKE,11,93475584.05138777,0.10999999999999997,61815399.655127846,437974347.459612,0.5620256525403879
SINGLE_LIKE,12,101973364.41969575,0.11999999999999997,65423484.682772756,412235638.3939323,0.5877643616060677
SINGLE_LIKE,13,110471144.78800373,0.12999999999999998,68822555.47303763,388700917.8191936,0.6112990821808064
SINGLE_LIKE,14,118968925.1563117,0.13999999999999996,72030262.8813244,367125549.7743062,0.6328744502256938
SINGLE_LIKE,15,127466705.52461968,0.14999999999999997,75062324.7349292,347297922.15570295,0.6527020778442971
SINGLE_LIKE,16,135964485.89292768,0.15999999999999998,77932783.39993963,329034238.10712135,0.6709657618928786
SINGLE_LIKE,17,144462266.26123565,0.16999999999999996,80654223.23365289,312174241.24443346,0.6878257587555665
SINGLE_LIKE,18,152960046.62954363,0.17999999999999997,83237955.02695344,296577688.1614742,0.7034223118385258
SINGLE_LIKE,19,161457826.9978516,0.18999999999999995,85694173.13860089,282121422.5661324,0.7178785774338676
SINGLE_LIKE,20,169955607.3661596,0.19999999999999996,88032089.9248632,268696936.57190806,0.7313030634280919
SINGLE_LIKE,21,178453387.73446757,0.20999999999999994,90260051.201907,256208328.6041049,0.7437916713958951
SINGLE_LIKE,22,186951168.10277554,0.21999999999999995,92385635.7914068,244570585.88023224,0.7554294141197677
SINGLE_LIKE,23,195448948.47108352,0.22999999999999993,94415741.65174371,233708133.81775013,0.7662918661822499
SINGLE_LIKE,24,203946728.8393915,0.23999999999999994,96356660.65742554,223553605.99002767,0.7764463940099724
SINGLE_LIKE,25,212444509.20769948,0.24999999999999992,98214143.7346881,214046797.1241076,0.7859532028758924
SINGLE_LIKE,26,220942289.57600746,0.25999999999999995,99993457.77373137,205133768.65988287,0.7948662313401171
SINGLE_LIKE,27,229440069.94431543,0.2699999999999999,101699435.50386153,196766081.9837609,0.8032339180162391
SINGLE_LIKE,28,237937850.3126234,0.2799999999999999,103336519.32618605,188900138.925678,0.811099861074322
SINGLE_LIKE,29,246435630.6809314,0.2899999999999999,104908799.94101755,181496612.70727488,0.8185033872927251
SINGLE_LIKE,30,254933411.04923937,0.29999999999999993,106420050.4771619,174519955.4364786,0.8254800445635214
SINGLE_LIKE,31,263431191.41754735,0.3099999999999999,107873756.72255611,167937970.6030525,0.8320620293969475
SINGLE_LIKE,32,271928971.78585535,0.31999999999999995,109273143.96612386,161721440.95243195,0.8382785590475681
SINGLE_LIKE,33,280426752.15416336,0.32999999999999996,110621200.88590717,155843803.68860358,0.8441561963113964
SINGLE_LIKE,34,288924532.52247137,0.34,111920700.85584971,150280866.24946696,0.849719133750533
SINGLE_LIKE,35,297422312.8907794,0.35000000000000003,113174220.9909049,145010556.96418345,0.8549894430358166
SINGLE_LIKE,36,305920093.2590874,0.36000000000000004,114384159.20568413,140012705.78440976,0.8599872942155902
SINGLE_LIKE,37,314417873.6273954,0.3700000000000001,115552749.52424094,135268851.01425558,0.8647311489857444
SINGLE_LIKE,38,322915653.9957034,0.3800000000000001,116682075.846654,130762068.5746731,0.8692379314253269
SINGLE_LIKE,39,331413434.3640114,0.3900000000000001,117774084.35088797,126476820.84878087,0.8735231791512191
SINGLE_LIKE,40,339911214.7323194,0.4000000000000002,118830594.68520412,122398822.58308508,0.8776011774169149
SINGLE_LIKE,41,348408995.1006274,0.4100000000000002,119853310.08652528,118514921.68005922,0.8814850783199408
SINGLE_LIKE,42,356906775.46893543,0.42000000000000026,120843826.54310761,114812993.02174594,0.885187006978254
SINGLE_LIKE,43,365404555.83724344,0.43000000000000027,121803641.10519831,111281843.7214769,0.8887181562785231
SINGLE_LIKE,44,373902336.20555145,0.4400000000000003,122734159.43469942,107911128.4192585,0.8920888715807415
SINGLE_LIKE,45,382400116.57385945,0.45000000000000034,123636702.6739127,104691273.42223597,0.8953087265777641
SINGLE_LIKE,46,390897896.94216746,0.46000000000000035,124512513.7039535,101613408.65019643,0.8983865913498036
SINGLE_LIKE,47,399395677.31047547,0.4700000000000004,125362762.85518052,98669306.48165533,0.9013306935183447
SINGLE_LIKE,48,407893457.6787835,0.4800000000000004,126188553.12481456,95851326.71229473,0.9041486732877053
SINGLE_LIKE,49,416391238.0470915,0.49000000000000044,126990924.95066065,93152366.93738733,0.9068476330626126
SINGLE_LIKE,50,424889018.4153995,0.5000000000000004,127770860.58437684,90565817.75583977,0.9094341822441603
SINGLE_LIKE,51,433386798.7837075,0.5100000000000006,128529288.10294099,88085522.26771739,0.9119144777322826
SINGLE_LIKE,52,441884579.1520155,0.5200000000000006,129267085.09276119,85705739.40131229,0.9142942605986877
SINGLE_LIKE,53,450382359.5203235,0.5300000000000006,129985082.03717795,83421110.66146274,0.9165788893385373
SINGLE_LIKE,54,458880139.8886315,0.5400000000000006,130684065.4348493,81226629.93915878,0.9187733700608413
SINGLE_LIKE,55,467377920.25693953,0.5500000000000006,131364780.67363586,79117616.06452318,0.9208823839354768
SINGLE_LIKE,56,475875700.62524754,0.5600000000000007,132027934.68206248,77089687.82192186,0.9229103121780782
SINGLE_LIKE,57,484373480.99355555,0.5700000000000007,132674198.3781847,75138741.1779836,0.9248612588220164
SINGLE_LIKE,58,492871261.36186355,0.5800000000000007,133304208.93369243,73260928.50133434,0.9267390714986656
SINGLE_LIKE,59,501369041.73017156,0.5900000000000007,133918571.86931245,71452639.57741712,0.9285473604225829
SINGLE_LIKE,60,509866822.09847957,0.6000000000000008,134517862.99599525,69710484.24334079,0.9302895157566592
SINGLE_LIKE,61,518364602.4667876,0.6100000000000009,135102630.2149669,68031276.48667437,0.9319687235133256
SINGLE_LIKE,62,526862382.8350956,0.6200000000000009,135673395.18847418,66412019.86882089,0.933587980131179
SINGLE_LIKE,63,535360163.2034036,0.6300000000000009,136230654.89193186,64849894.14835384,0.9351501058516462
SINGLE_LIKE,64,543857943.5717115,0.6400000000000009,136774883.05717883,63342242.99273583,0.9366577570072642
SINGLE_LIKE,65,552355723.9400195,0.6500000000000008,137306531.5156526,61886562.67837767,0.9381134373216223
SINGLE_LIKE,66,560853504.3083274,0.6600000000000008,137826031.44948658,60480491.68922247,0.9395195083107776
SINGLE_LIKE,67,569351284.6766354,0.6700000000000007,138333794.55781084,59121801.133119516,0.9408781988668805
SINGLE_LIKE,68,577849065.0449433,0.6800000000000007,138830214.1448869,57808385.90332229,0.9421916140966777
SINGLE_LIKE,69,586346845.4132513,0.6900000000000006,139315666.1361206,56538256.51962927,0.9434617434803707
SINGLE_LIKE,70,594844625.7815592,0.7000000000000006,139790510.0274691,55309531.59008963,0.9446904684099103
SINGLE_LIKE,71,603342406.1498672,0.7100000000000006,140255089.7732817,54120430.83991072,0.9458795691600893
SINGLE_LIKE,72,611840186.5181751,0.7200000000000005,140709734.61718133,52969268.65931219,0.9470307313406878
SINGLE_LIKE,73,620337966.8864831,0.7300000000000005,141154759.8702061,51854448.12664083,0.9481455518733591
SINGLE_LIKE,74,628835747.254791,0.7400000000000004,141590467.64007458,50774455.46715485,0.9492255445328451
SINGLE_LIKE,75,637333527.623099,0.7500000000000004,142017147.51512018,49727854.911558256,0.9502721450884417
SINGLE_LIKE,76,645831307.9914069,0.7600000000000003,142435077.20614773,48713283.92166344,0.9512867160783366
SINGLE_LIKE,77,654329088.3597149,0.7700000000000004,142844523.14920202,47729448.753524974,0.9522705512464751
SINGLE_LIKE,78,662826868.7280228,0.7800000000000002,143245741.07199773,46775120.33105559,0.9532248796689444
SINGLE_LIKE,79,671324649.0963308,0.7900000000000003,143638976.52654076,45849130.4055398,0.9541508695944602
SINGLE_LIKE,80,679822429.4646387,0.8000000000000003,144024465.39027232,44950367.97862872,0.9550496320213713
SINGLE_LIKE,81,688320209.8329467,0.8100000000000002,144402434.337885,44077775.96835805,0.955922224031642
SINGLE_LIKE,82,696817990.2012546,0.8200000000000002,144773101.28579342,43230348.09950102,0.956769651900499
SINGLE_LIKE,83,705315770.5695626,0.8300000000000001,145136675.8110914,42407126.00116922,0.9575928739988308
SINGLE_LIKE,84,713813550.9378705,0.8400000000000001,145493359.5466875,41607196.49602471,0.9583928035039753
SINGLE_LIKE,85,722311331.3061785,0.85,145843346.55418488,40829689.06678177,0.9591703109332183
SINGLE_LIKE,86,730809111.6744864,0.86,146186823.67595366,40073773.486869395,0.9599262265131306
SINGLE_LIKE,87,739306892.0427943,0.87,146523970.86773875,39338657.60320976,0.9606613423967902
SINGLE_LIKE,88,747804672.4111023,0.8799999999999999,146854961.51304635,38623585.26005282,0.9613764147399472
SINGLE_LIKE,89,756302452.7794102,0.8899999999999999,147179962.72046366,37927834.35370363,0.9620721656462964
SINGLE_LIKE,90,764800233.1477182,0.8999999999999998,147499135.6049829,37250715.008795686,0.9627492849912043
SINGLE_LIKE,91,773298013.5160261,0.9099999999999998,147812635.55432466,36591567.86750775,0.9634084321324923
SINGLE_LIKE,92,781795793.8843341,0.9199999999999997,148120612.48118547,35949762.48380018,0.9640502375161998
SINGLE_LIKE,93,790293574.252642,0.9299999999999997,148423211.0622702,35324695.81536746,0.9646753041846325
SINGLE_LIKE,94,798791354.62095,0.9399999999999997,148720570.96490964,34715790.80656933,0.9652842091934307
SINGLE_LIKE,95,807289134.9892579,0.9499999999999996,149012827.0620095,34122495.056121774,0.9658775049438783
SINGLE_LIKE,96,815786915.3575659,0.9599999999999996,149300109.63602543,33544279.56380269,0.9664557204361973
SINGLE_LIKE,97,824284695.7258738,0.9699999999999995,149582544.57261235,32980637.55086185,0.9670193624491381
SINGLE_LIKE,98,832782476.0941818,0.9799999999999995,149860253.54455292,32431083.349222858,0.9675689166507772
SINGLE_LIKE,99,841280256.4624897,0.9899999999999994,150133354.18652964,31895151.354929924,0.9681048486450701
SINGLE_LIKE,100,849778036.8307977,0.9999999999999994,150401960.2612678,31372395.041627787,0.9686276049583722
