curve,honest_leader_avg_absorption_parent,honest_leader_avg_usd,rounds
SINGLE_LIKE,6440049.79795184,1610.01244948796,20
WALL_LIKE,6136348.911835609,1534.0872279589023,20
GENTLE_LIKE,6405749.942737557,1601.4374856843892,20
OVERRIDE,6558568.680548854,1639.6421701372135,20
