demand_regime,chains,mean_index_reached,rounds_simulated,frac_rounds_no_winner,wins,rounds_per_win,zombie_win_rate
0.2,200,20.0,6046,0.3384055573933179,4000,1.5115,0.077
0.35,200,20.0,5146,0.22269724057520404,4000,1.2865,0.001
0.5,200,20.0,4724,0.15325994919559696,4000,1.181,0.0
1.0,200,20.0,4187,0.04466204919990446,4000,1.04675,0.0
