round_n,D_human,late_entry_s,early_coin_score,late_entrant_score,equal_by_construction
5,1 h,1200.0,13000000.0,13000000.0,True
6,1 h,1200.0,13000000.0,13000000.0,True
7,2 h,2400.0,13000000.0,13000000.0,True
8,2 h,2400.0,13000000.0,13000000.0,True
9,4 h,4800.0,13000000.0,13000000.0,True
10,4 h,4800.0,13000000.0,13000000.0,True
11,8 h,9600.0,13000000.0,13000000.0,True
12,8 h,9600.0,13000000.0,13000000.0,True
13,12 h,14400.0,13000000.0,13000000.0,True
14,12 h,14400.0,13000000.0,13000000.0,True
