curve,capital_multiple,capital_usd,p_top,p_win_h_25bps,p_win_h_50bps,p_win_h_100bps,cost_usd,cost_pct_of_capital,capital_deployed_usd,snipe_usd,hop_usd,impact_usd,mtm_usd,deployed_frac_of_capital
GENTLE_LIKE,0.5,760.287409328972,0.0,0.0,0.0,0.0,1.140003452325589,0.0014994374999998403,760.287409328972,0.0,1.1400034523257396,-1.5052137314341963e-13,0.0,1.0
GENTLE_LIKE,1.0,1520.574818657944,0.275,0.275,0.275,0.0,2.280006904651411,0.0014994374999999934,1520.574818657944,0.0,2.2800069046514793,-6.821210263296962e-14,0.0,1.0
GENTLE_LIKE,2.0,3041.149637315888,1.0,1.0,1.0,1.0,4.560013809302356,0.0014994374999998403,3041.149637315888,0.0,4.5600138093029585,-6.020854925736785e-13,0.0,1.0
GENTLE_LIKE,5.0,7602.87409328972,1.0,1.0,1.0,1.0,11.400034523258917,0.0014994375000002384,7602.87409328972,0.0,11.400034523257627,1.2896634871140122e-12,0.0,1.0
GENTLE_LIKE,10.0,15205.74818657944,1.0,1.0,1.0,1.0,22.80006904651411,0.0014994374999999934,15205.74818657944,0.0,22.800069046515258,-1.1496013030409813e-12,0.0,1.0
SINGLE_LIKE,0.5,802.4562575860019,0.0,0.0,0.0,0.0,1.2032330047340365,0.0014994374999999075,802.4562575860019,0.0,1.203233004734152,-1.155058271251619e-13,0.0,1.0
SINGLE_LIKE,1.0,1604.9125151720039,0.45,0.45,0.45,0.0,2.4064660094683057,0.0014994375000000526,1604.9125151720039,0.0,2.406466009468304,1.8189894035458565e-15,0.0,1.0
SINGLE_LIKE,2.0,3209.8250303440077,1.0,1.0,1.0,1.0,4.812932018937078,0.0014994375000001977,3209.8250303440077,0.0,4.812932018936608,4.69299266114831e-13,0.0,1.0
SINGLE_LIKE,5.0,8024.562575860019,1.0,1.0,1.0,1.0,11.875457500332036,0.001499437500000089,7919.941645004431,0.0,11.87545750033183,2.055458026006818e-13,0.0,0.9869624132323032
SINGLE_LIKE,10.0,16049.125151720038,1.0,1.0,1.0,1.0,11.875457500332036,0.001499437500000089,7919.941645004431,0.0,11.87545750033183,2.055458026006818e-13,0.0,0.4934812066161516
WALL_LIKE,0.5,794.3586828294906,0.0,0.0,0.0,0.0,1.1910911974845222,0.0014994374999992167,794.3586828294906,0.0,1.191091197485209,-6.86895873514004e-13,0.0,1.0
WALL_LIKE,1.0,1588.7173656589812,0.425,0.425,0.425,0.0,2.38218239496951,0.0014994374999995098,1588.7173656589812,0.0,2.3821823949704175,-9.076757123693824e-13,0.0,1.0
WALL_LIKE,2.0,3177.4347313179624,1.0,1.0,1.0,1.0,4.764364789939951,0.0014994374999998028,3177.4347313179624,0.0,4.764364789940835,-8.840288501232862e-13,0.0,1.0
WALL_LIKE,5.0,7943.586828294907,1.0,1.0,1.0,1.0,11.910911974851043,0.0014994374999999494,7943.586828294906,0.0,11.91091197485162,-5.784386303275824e-13,0.0,0.9999999999999999
WALL_LIKE,10.0,15887.173656589814,1.0,1.0,1.0,1.0,23.821823949702086,0.0014994374999999494,15887.173656589812,0.0,23.82182394970324,-1.1568772606551647e-12,0.0,0.9999999999999999
