curve,strategy,capital_multiple,capital_parent,capital_usd,trial,attacker_avg,best_honest_avg,is_top,snipe_fees,hop_fees,protocol_fees,price_impact_loss,round_trip_loss,mark_to_market,capital_deployed,cost_parent,cost_usd,cost_pct_of_capital,fee_share_of_cost,win_h0.0025,win_h0.005,win_h0.01
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,0,3190846.003653131,6427815.552838745,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,1,3190846.003653131,5405020.98307592,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,2,3190846.003653131,6766140.075912256,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,3,3190846.003653131,7469842.180128145,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,4,3190846.003653131,7924078.734103477,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,5,3190846.003653131,7351591.3378389785,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,6,3190846.003653131,5891263.080795052,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,7,3190846.003653131,6369697.730488836,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,8,3190846.003653131,6015645.334200057,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,9,3190846.003653131,6852590.926557584,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
