policy,rounds,eth_deployed,usd_deployed,parent_deposited,tokens_burned,burned_frac_of_supply,depth_within_20pct_parent,depth_within_50pct_parent,fdv_pre_shock,fdv_post_shock,shock_drawdown,eth_price_post_shock,drawdown_vs_none,depth_gain_vs_none
SINGLE_SIDED_BID,20,5.0,20000.0,17218859.91172845,0.0,0.0,93501659.05687565,228852090.03355303,1000000000.0,716409673.5589299,0.2835903264410701,2.435281739187322e-07,-0.03125046983306001,0.08136179701938406
BUY_AND_BURN,20,5.0,20000.0,0.0,16805759.527596902,0.016805759527596904,78099279.17125078,216672734.96019077,1048191924.3356985,712322677.7343304,0.3204272412365974,2.421388869413052e-07,0.005586444962467296,0.023812445878491184
TWO_SIDED,20,5.0,20000.0,8649015.688812759,0.0,0.0,86289092.3965344,223148709.33731857,1022424750.6961175,714029406.8046191,0.30163133637123674,2.4271905305184397e-07,-0.01320945990289335,0.05441243423287179
NONE,0,0.0,0.0,0.0,0.0,0.0,76282799.1451472,211633230.12182456,1000000000.0,685159203.7258699,0.3148407962741301,1.6155258955244196e-07,0.0,0.0
