creator_share,ancestor_split,developer_usd,creator_usd_total,creator_usd_per_round,ancestor_sleeve_usd,reinforcement_usd,flywheel_usd,genesis_usd,genesis_share_of_pot
0.3,25/75,10000.0,15000.0,750.0,6250.0,18750.0,25000.0,1876.8321528805936,0.037536643057611875
0.3,50/50,10000.0,15000.0,750.0,12500.0,12500.0,25000.0,3753.6643057611873,0.07507328611522375
0.3,75/25,10000.0,15000.0,750.0,18750.0,6250.0,25000.0,5630.49645864178,0.1126099291728356
0.4,25/75,10000.0,20000.0,1000.0,5000.0,15000.000000000002,20000.0,1501.4657223044746,0.030029314446089493
0.4,50/50,10000.0,20000.0,1000.0,10000.0,10000.0,20000.0,3002.9314446089493,0.060058628892178986
0.4,75/25,10000.0,20000.0,1000.0,15000.000000000002,5000.0,20000.0,4504.397166913425,0.0900879433382685
0.5,25/75,10000.0,25000.0,1250.0,3750.000000000001,11250.000000000002,15000.000000000004,1126.0992917283563,0.022521985834567125
0.5,50/50,10000.0,25000.0,1250.0,7500.000000000002,7500.000000000001,15000.000000000004,2252.1985834567126,0.04504397166913425
0.5,75/25,10000.0,25000.0,1250.0,11250.000000000002,3750.0000000000005,15000.000000000002,3378.297875185069,0.06756595750370138
