scenario,day,top1_share,top2_share,round_winner_share,round_winner_is_top1
honest,1,0.5429260154450777,0.45707398455492226,0.5429260154450777,True
honest,2,0.5444765915889903,0.4555234084110098,0.5444765915889903,True
honest,3,0.5413636711988352,0.45863632880116495,0.5413636711988352,True
honest,4,0.546060413690978,0.4539395863090219,0.546060413690978,True
honest,5,0.5456148940902514,0.4543851059097485,0.5456148940902514,True
honest,6,0.5386219610491397,0.4613780389508602,0.5386219610491397,True
honest,7,0.5377878148954771,0.46221218510452283,0.5377878148954771,True
honest,8,0.5367767433989997,0.46322325660100033,0.5367767433989997,True
honest,9,0.5324698121555435,0.46753018784445655,0.5324698121555435,True
honest,10,0.5324581251968482,0.46754187480315185,0.5324581251968482,True
honest,11,0.5318503885842453,0.4681496114157547,0.5318503885842453,True
honest,12,0.5317824253616263,0.4682175746383736,0.5317824253616263,True
honest,13,0.5333110148305726,0.4666889851694275,0.5333110148305726,True
honest,14,0.5371529090379561,0.462847090962044,0.5371529090379561,True
honest,15,0.5360533941684041,0.46394660583159586,0.5360533941684041,True
honest,16,0.5354889562657693,0.46451104373423074,0.5354889562657693,True
honest,17,0.5334975522999211,0.466502447700079,0.5334975522999211,True
honest,18,0.5331317405992416,0.46686825940075827,0.5331317405992416,True
honest,19,0.5336662968408871,0.466333703159113,0.5336662968408871,True
honest,20,0.5325294783462146,0.4674705216537855,0.5325294783462146,True
honest,21,0.5311353339605023,0.46886466603949783,0.5311353339605023,True
honest,22,0.5299055891989338,0.4700944108010662,0.5299055891989338,True
honest,23,0.5300755173944757,0.46992448260552433,0.5300755173944757,True
honest,24,0.530220551395614,0.4697794486043861,0.530220551395614,True
honest,25,0.530093043535662,0.4699069564643381,0.530093043535662,True
honest,26,0.5284890861196196,0.4715109138803804,0.5284890861196196,True
honest,27,0.5258109863507112,0.47418901364928884,0.5258109863507112,True
honest,28,0.5255869101127906,0.4744130898872094,0.5255869101127906,True
honest,29,0.5250487109968804,0.47495128900311956,0.5250487109968804,True
honest,30,0.5230329955881625,0.4769670044118374,0.5230329955881625,True
dump50,1,0.7624930046124659,0.23750699538753392,0.7624930046124659,True
dump50,2,0.764023759052286,0.2359762409477139,0.764023759052286,True
dump50,3,0.7629043674368172,0.23709563256318275,0.7629043674368172,True
dump50,4,0.5002931727394982,0.49970682726050175,0.0,False
dump50,5,0.5005631469191562,0.4994368530808438,0.0,False
dump50,6,0.5013192023522006,0.4986807976477994,0.0,False
dump50,7,0.501456378572259,0.498543621427741,0.0,False
dump50,8,0.5012789872994396,0.4987210127005603,0.0,False
dump50,9,0.5040591161257969,0.4959408838742032,0.0,False
dump50,10,0.5043308170874435,0.49566918291255646,0.0,False
dump50,11,0.5010125765304217,0.4989874234695782,0.0,False
dump50,12,0.5012215911324706,0.49877840886752955,0.0,False
dump50,13,0.5004731296499614,0.49952687035003857,0.0,False
dump50,14,0.5034402039207124,0.4965597960792875,0.0,False
dump50,15,0.5054457978087123,0.49455420219128754,0.0,False
dump50,16,0.507083725504417,0.49291627449558284,0.0,False
dump50,17,0.5123675508245394,0.48763244917546067,0.0,False
dump50,18,0.506487418617012,0.49351258138298804,0.49351258138298804,False
dump50,19,0.513814241969688,0.48618575803031205,0.513814241969688,True
dump50,20,0.5203505236804198,0.4796494763195802,0.5203505236804198,True
dump50,21,0.5308463458851077,0.4691536541148922,0.5308463458851077,True
dump50,22,0.5353301350973468,0.4646698649026531,0.5353301350973468,True
dump50,23,0.5377819676884018,0.4622180323115983,0.5377819676884018,True
dump50,24,0.5535506038008171,0.4464493961991829,0.5535506038008171,True
dump50,25,0.5544727918106175,0.44552720818938246,0.5544727918106175,True
dump50,26,0.5596257259089028,0.44037427409109714,0.5596257259089028,True
dump50,27,0.5647463922014397,0.4352536077985603,0.5647463922014397,True
dump50,28,0.5661902049600311,0.4338097950399689,0.5661902049600311,True
dump50,29,0.5681885104639351,0.4318114895360648,0.5681885104639351,True
dump50,30,0.5714754603157769,0.42852453968422305,0.5714754603157769,True
dump90,1,0.8302170890240095,0.16978291097599052,0.8302170890240095,True
dump90,2,0.8268523191181328,0.1731476808818671,0.8268523191181328,True
dump90,3,0.8298685564621404,0.17013144353785956,0.8298685564621404,True
dump90,4,0.5865389897609464,0.4134610102390535,0.0,False
dump90,5,0.5867365515358633,0.41326344846413676,0.0,False
dump90,6,0.5847974247975148,0.41520257520248505,0.0,False
dump90,7,0.5846320560397588,0.4153679439602413,0.0,False
dump90,8,0.5824195885062441,0.41758041149375597,0.0,False
dump90,9,0.5791819454521492,0.42081805454785076,0.0,False
dump90,10,0.5733792425015041,0.426620757498496,0.0,False
dump90,11,0.5756194180046091,0.42438058199539086,0.0,False
dump90,12,0.5760441420009452,0.42395585799905483,0.0,False
dump90,13,0.5761543138700852,0.4238456861299148,0.4238456861299148,False
dump90,14,0.5507568675469618,0.44924313245303815,0.44924313245303815,False
dump90,15,0.5484214656356506,0.4515785343643493,0.4515785343643493,False
dump90,16,0.5370112846364817,0.46298871536351816,0.46298871536351816,False
dump90,17,0.5081148285432661,0.49188517145673405,0.49188517145673405,False
dump90,18,0.5011154080026397,0.49888459199736035,0.49888459199736035,False
dump90,19,0.5231996664337157,0.4768003335662842,0.5231996664337157,True
dump90,20,0.5297080924509837,0.47029190754901623,0.5297080924509837,True
dump90,21,0.5441214529707523,0.4558785470292476,0.5441214529707523,True
dump90,22,0.5575880105679288,0.4424119894320713,0.5575880105679288,True
