curve,band,fdv_lower,fdv_upper,buyout_cost_parent,tokens_in_band
WALL_LIKE,0,3428212.7459799717,171373172.3331237,7271542.644723288,300000000.0
WALL_LIKE,1,171373172.3331237,689367063.7776557,171856786.75975215,500000000.00000006
WALL_LIKE,2,689367063.7776557,6861346507.846821,434970633.29265976,200000000.0
SINGLE_LIKE,0,31372395.041627657,31306564734.426094,991040824.7114266,1000000000.0
