curve,decline_pct,parent_released,parent_released_per_pct,parent_released_usd
WALL_LIKE,0.05,6155878.080996128,1231175.6161992257,5581.6139248067475
WALL_LIKE,0.1,12475999.419583114,1247599.9419583115,11312.149326218894
WALL_LIKE,0.25,32571597.961800825,1302863.918472033,29533.087293921166
WALL_LIKE,0.5,92109391.98509693,1842187.8397019387,83516.77179842825
WALL_LIKE,0.75,177605299.17211726,2368070.65562823,161037.01176910647
SINGLE_LIKE,0.05,4631456.354493005,926291.270898601,6161.003950176925
SINGLE_LIKE,0.1,9386483.297786353,938648.3297786353,12486.387919823546
SINGLE_LIKE,0.25,24505672.849804565,980226.9139921826,32598.71964094472
SINGLE_LIKE,0.5,53573928.21412365,1071478.564282473,71266.82367059524
SINGLE_LIKE,0.75,91456416.1491318,1219418.881988424,121660.07796169912
